"","district_school_id","public","type","geometry"
"1",172,TRUE,"High",c(-92.674655, 42.09468)
"2",172,TRUE,"Middle",c(-92.674655, 42.09468)
"3",526,TRUE,"Elementary",c(-90.535945, 41.536973)
"4",459,TRUE,"Elementary",c(-94.185576, 42.521102)
"5",448,TRUE,"Elementary",c(-93.743666, 41.625371)
"6",423,TRUE,"Elementary",c(-96.407443, 42.54413)
"7",415,TRUE,"Elementary",c(-93.736447, 41.678766)
"8",440,TRUE,"Elementary",c(-93.626421, 42.042006)
"9",409,TRUE,"Elementary",c(-94.672859, 42.731585)
"10",8102,TRUE,"Elementary",c(-94.662307, 42.732611)
"11",431,TRUE,"Middle",c(-93.539753, 41.35544)
"12",961,TRUE,"Elementary",c(-93.618975, 42.051193)
"13",109,TRUE,"High",c(-93.222279, 43.454252)
"14",109,TRUE,"Middle",c(-93.222279, 43.454252)
"15",236,TRUE,"Middle",c(-93.616215, 41.627682)
"16",447,TRUE,"Elementary",c(-93.589447, 41.744444)
"17",8103,TRUE,"Elementary",c(-95.717779, 42.236783)
"18",427,TRUE,"Elementary",c(-90.561397, 41.549204)
"19",455,TRUE,"Elementary",c(-93.796497, 41.636764)
"20",616,TRUE,"Elementary",c(-93.650365, 41.548238)
"21",411,TRUE,"Elementary",c(-90.483735, 41.544807)
"22",418,TRUE,"Elementary",c(-93.609939, 41.753021)
"23",509,TRUE,"Elementary",c(-94.198595, 42.496282)
"24",8109,TRUE,"Elementary",c(-90.560599, 41.54286)
"25",8109,TRUE,"Middle",c(-90.560599, 41.54286)
"26",118,TRUE,"High",c(-93.713066, 41.586342)
"27",454,TRUE,"Elementary",c(-94.183555, 42.50123)
"28",8104,TRUE,"Elementary",c(-93.630255, 42.05011)
"29",8000,TRUE,"Elementary",c(-95.96926, 42.811161)
"30",8000,TRUE,"High",c(-95.96926, 42.811161)
"31",8000,TRUE,"Middle",c(-95.96926, 42.811161)
"32",472,TRUE,"Elementary",c(-93.756452, 41.578004)
"33",607,TRUE,"Elementary",c(-96.339947, 42.46183)
"34",301,TRUE,"Elementary",c(-92.416676, 40.998317)
"35",425,TRUE,"Elementary",c(-95.853709, 41.364599)
"36",209,TRUE,"Middle",c(-93.464561, 41.698711)
"37",8108,TRUE,"Elementary",c(-93.606554, 41.601732)
"38",8108,TRUE,"Middle",c(-93.606554, 41.601732)
"39",412,TRUE,"Elementary",c(-93.613704, 41.818529)
"40",544,TRUE,"Elementary",c(-95.869056, 41.266643)
"41",8117,TRUE,"Elementary",c(-93.623344, 41.531935)
"42",8117,TRUE,"Middle",c(-93.623344, 41.531935)
"43",517,TRUE,"Elementary",c(-92.399947, 41.01513)
"44",436,TRUE,"Elementary",c(-93.578438, 41.360427)
"45",445,TRUE,"Elementary",c(-93.604747, 41.623238)
"46",435,TRUE,"Elementary",c(-93.610485, 41.600358)
"47",463,TRUE,"Elementary",c(-90.622255, 41.512529)
"48",250,TRUE,"Middle",c(-92.314171, 42.168664)
"49",8101,TRUE,"Elementary",c(-94.36466, 41.054979)
"50",8101,TRUE,"Middle",c(-94.36466, 41.054979)
"51",417,TRUE,"Elementary",c(-95.594112, 41.504331)
"52",8120,TRUE,"Elementary",c(-93.561202, 41.628854)
"53",8120,TRUE,"High",c(-93.561202, 41.628854)
"54",8120,TRUE,"Middle",c(-93.561202, 41.628854)
"55",8112,TRUE,"Elementary",c(-93.707376, 41.628647)
"56",8112,TRUE,"Middle",c(-93.707376, 41.628647)
"57",8401,TRUE,"Elementary",c(-93.187852, 43.146193)
"58",8401,TRUE,"High",c(-93.187852, 43.146193)
"59",8401,TRUE,"Middle",c(-93.187852, 43.146193)
"60",408,TRUE,"Elementary",c(-93.024438, 41.69578)
"61",487,TRUE,"Elementary",c(-91.970446, 40.998036)
"62",569,TRUE,"Elementary",c(-91.675791, 42.022844)
"63",486,TRUE,"Elementary",c(-91.958376, 41.002989)
"64",558,TRUE,"Elementary",c(-91.668234, 42.044207)
"65",610,TRUE,"Elementary",c(-91.666068, 41.950253)
"66",434,TRUE,"Elementary",c(-92.015742, 42.57631)
"67",434,TRUE,"Middle",c(-92.015742, 42.57631)
"68",554,TRUE,"Elementary",c(-92.307839, 42.496574)
"69",120,TRUE,"High",c(-95.195155, 42.647886)
"70",8602,TRUE,"Elementary",c(-91.453666, 40.715214)
"71",8153,TRUE,"Middle",c(-91.004814, 42.441847)
"72",516,TRUE,"Elementary",c(-90.25054, 41.844528)
"73",467,TRUE,"Elementary",c(-93.062229, 41.692838)
"74",8220,TRUE,"Elementary",c(-91.671671, 42.005831)
"75",8220,TRUE,"Middle",c(-91.671671, 42.005831)
"76",550,TRUE,"Elementary",c(-92.36255, 42.462662)
"77",433,TRUE,"Elementary",c(-91.752443, 41.971291)
"78",8002,TRUE,"Elementary",c(-94.865389, 42.059272)
"79",8002,TRUE,"High",c(-94.865389, 42.059272)
"80",8002,TRUE,"Middle",c(-94.865389, 42.059272)
"81",8146,TRUE,"High",c(-91.114275, 42.472699)
"82",8146,TRUE,"Middle",c(-91.114275, 42.472699)
"83",428,TRUE,"Middle",c(-92.408777, 40.754657)
"84",439,TRUE,"Elementary",c(-93.310785, 41.023029)
"85",8006,TRUE,"Elementary",c(-90.70623, 42.517509)
"86",8006,TRUE,"High",c(-90.70623, 42.517509)
"87",8006,TRUE,"Middle",c(-90.70623, 42.517509)
"88",225,TRUE,"Middle",c(-90.752385, 42.504911)
"89",8214,TRUE,"Elementary",c(-91.689919, 41.969857)
"90",8214,TRUE,"Middle",c(-91.689919, 41.969857)
"91",493,TRUE,"Elementary",c(-91.575666, 41.705263)
"92",636,TRUE,"Elementary",c(-91.713228, 42.03933)
"93",232,TRUE,"Middle",c(-91.738942, 41.978461)
"94",8202,TRUE,"Elementary",c(-95.04505, 40.74595)
"95",8202,TRUE,"Middle",c(-95.04505, 40.74595)
"96",8007,TRUE,"Elementary",c(-92.344315, 42.464995)
"97",8007,TRUE,"High",c(-92.344315, 42.464995)
"98",8007,TRUE,"Middle",c(-92.344315, 42.464995)
"99",401,TRUE,"Elementary",c(-91.599668, 41.741731)
"100",8157,TRUE,"Elementary",c(-90.831933, 42.448893)
"101",488,TRUE,"Elementary",c(-91.596479, 41.644184)
"102",402,TRUE,"Elementary",c(-91.027646, 41.442585)
"103",8201,TRUE,"Elementary",c(-93.369911, 42.733638)
"104",8201,TRUE,"Middle",c(-93.369911, 42.733638)
"105",8127,TRUE,"Elementary",c(-90.680781, 42.525205)
"106",8204,TRUE,"Elementary",c(-91.973833, 41.992518)
"107",8204,TRUE,"Middle",c(-91.973833, 41.992518)
"108",215,TRUE,"Middle",c(-92.361974, 42.465594)
"109",461,TRUE,"Elementary",c(-91.07506, 41.444433)
"110",8160,TRUE,"Elementary",c(-90.720467, 42.509244)
"111",8113,TRUE,"Elementary",c(-92.446831, 42.532655)
"112",8113,TRUE,"Middle",c(-92.446831, 42.532655)
"113",309,TRUE,"Elementary",c(-92.330525, 42.668666)
"114",8008,TRUE,"Elementary",c(-92.215588, 42.417619)
"115",8008,TRUE,"High",c(-92.215588, 42.417619)
"116",8008,TRUE,"Middle",c(-92.215588, 42.417619)
"117",8150,TRUE,"Elementary",c(-91.019908, 42.299037)
"118",8150,TRUE,"Middle",c(-91.019908, 42.299037)
"119",522,TRUE,"Elementary",c(-90.721447, 42.568195)
"120",114,TRUE,"High",c(-93.682962, 41.636719)
"121",608,TRUE,"Elementary",c(-91.710603, 41.953231)
"122",213,TRUE,"Middle",c(-91.585515, 41.681809)
"123",565,TRUE,"Elementary",c(-92.356899, 42.431267)
"124",8001,TRUE,"Elementary",c(-91.213305, 42.55547)
"125",8148,TRUE,"Elementary",c(-90.997131, 42.59977)
"126",200,TRUE,"Middle",c(-92.275501, 42.470812)
"127",442,TRUE,"Elementary",c(-93.842119, 41.549797)
"128",8206,TRUE,"Elementary",c(-94.181664, 42.502066)
"129",8206,TRUE,"Middle",c(-94.181664, 42.502066)
"130",491,TRUE,"Elementary",c(-92.901555, 42.049789)
"131",494,TRUE,"Elementary",c(-90.722123, 42.509111)
"132",951,TRUE,"Elementary",c(-91.666611, 41.905046)
"133",951,TRUE,"High",c(-91.666611, 41.905046)
"134",951,TRUE,"Middle",c(-91.666611, 41.905046)
"135",8136,TRUE,"Elementary",c(-90.73627, 42.515282)
"136",8122,TRUE,"Elementary",c(-90.674942, 42.486668)
"137",8134,TRUE,"High",c(-90.706196, 42.517514)
"138",598,TRUE,"Elementary",c(-93.674401, 41.592094)
"139",421,TRUE,"Elementary",c(-93.83356, 41.60617)
"140",403,TRUE,"Elementary",c(-91.571292, 41.676337)
"141",923,TRUE,"Elementary",c(-93.664703, 41.634025)
"142",424,TRUE,"Elementary",c(-95.627524, 43.089067)
"143",418,TRUE,"Elementary",c(-93.81796, 41.762279)
"144",208,TRUE,"Middle",c(-91.137895, 40.795359)
"145",8506,TRUE,"High",c(-91.788961, 41.540813)
"146",214,TRUE,"Middle",c(-91.653297, 42.025633)
"147",8207,TRUE,"Elementary",c(-92.472017, 42.728074)
"148",449,TRUE,"Elementary",c(-96.166417, 42.775928)
"149",8126,TRUE,"Elementary",c(-90.696973, 42.503934)
"150",520,TRUE,"Elementary",c(-90.665652, 42.504593)
"151",251,TRUE,"Middle",c(-95.429754, 42.714287)
"152",406,TRUE,"Elementary",c(-91.584299, 41.684289)
"153",420,TRUE,"Elementary",c(-91.979428, 42.536518)
"154",420,TRUE,"Middle",c(-91.979428, 42.536518)
"155",627,TRUE,"Elementary",c(-91.721383, 41.985209)
"156",194,TRUE,"High",c(-93.641783, 41.584446)
"157",688,TRUE,"Elementary",c(-93.539667, 41.613891)
"158",497,TRUE,"Elementary",c(-91.595104, 41.726421)
"159",8200,TRUE,"Elementary",c(-91.648681, 42.024254)
"160",8303,TRUE,"Elementary",c(-96.428286, 43.305169)
"161",8303,TRUE,"Middle",c(-96.428286, 43.305169)
"162",145,TRUE,"High",c(-96.443962, 42.511841)
"163",8302,TRUE,"Elementary",c(-92.964284, 42.433266)
"164",8302,TRUE,"Middle",c(-92.964284, 42.433266)
"165",547,TRUE,"Elementary",c(-96.44334, 42.508165)
"166",427,TRUE,"Elementary",c(-93.820562, 41.761067)
"167",480,TRUE,"Elementary",c(-90.19686, 41.873826)
"168",502,TRUE,"Elementary",c(-91.679625, 42.038767)
"169",505,TRUE,"Elementary",c(-91.725472, 41.971349)
"170",8304,TRUE,"Elementary",c(-95.660502, 43.181501)
"171",8304,TRUE,"Middle",c(-95.660502, 43.181501)
"172",8216,TRUE,"Middle",c(-91.646919, 42.002597)
"173",8203,TRUE,"Elementary",c(-95.688217, 42.974194)
"174",8203,TRUE,"Middle",c(-95.688217, 42.974194)
"175",8137,TRUE,"Elementary",c(-91.213305, 42.55547)
"176",8301,TRUE,"Elementary",c(-94.165334, 42.494895)
"177",8301,TRUE,"Middle",c(-94.165334, 42.494895)
"178",724,TRUE,"Elementary",c(-93.690172, 41.628785)
"179",8311,TRUE,"Elementary",c(-96.313151, 42.973754)
"180",8311,TRUE,"Middle",c(-96.313151, 42.973754)
"181",468,TRUE,"Elementary",c(-91.526738, 41.679714)
"182",8504,TRUE,"Elementary",c(-93.623057, 41.731844)
"183",8315,TRUE,"Elementary",c(-96.296736, 43.207313)
"184",8315,TRUE,"Middle",c(-96.296736, 43.207313)
"185",8115,TRUE,"Elementary",c(-90.599018, 41.563342)
"186",8115,TRUE,"Middle",c(-90.599018, 41.563342)
"187",751,TRUE,"Elementary",c(-93.624793, 41.632436)
"188",715,TRUE,"Elementary",c(-93.658523, 41.614457)
"189",8317,TRUE,"High",c(-96.071646, 43.003808)
"190",739,TRUE,"Elementary",c(-93.532103, 41.62261)
"191",535,TRUE,"Elementary",c(-90.606196, 41.5234)
"192",8217,TRUE,"Elementary",c(-96.399373, 42.496954)
"193",503,TRUE,"Elementary",c(-93.617504, 41.623221)
"194",647,TRUE,"Elementary",c(-93.602409, 41.535445)
"195",855,TRUE,"Elementary",c(-93.616106, 41.545395)
"196",576,TRUE,"Elementary",c(-90.766618, 41.587435)
"197",778,TRUE,"Elementary",c(-93.572442, 41.607827)
"198",8106,TRUE,"High",c(-96.406448, 42.50146)
"199",859,TRUE,"Elementary",c(-93.551468, 41.605495)
"200",886,TRUE,"Elementary",c(-93.636415, 41.524672)
"201",272,TRUE,"Middle",c(-93.690182, 41.582963)
"202",8509,TRUE,"High",c(-93.560975, 41.643995)
"203",475,TRUE,"Elementary",c(-90.649366, 41.532359)
"204",8116,TRUE,"Middle",c(-96.353946, 42.451523)
"205",450,TRUE,"Elementary",c(-93.756523, 41.559272)
"206",790,TRUE,"Elementary",c(-93.577462, 41.558003)
"207",8308,TRUE,"Elementary",c(-96.065356, 43.004056)
"208",8308,TRUE,"Middle",c(-96.065356, 43.004056)
"209",8111,TRUE,"Elementary",c(-96.473033, 42.520203)
"210",8111,TRUE,"Middle",c(-96.473033, 42.520203)
"211",8107,TRUE,"Elementary",c(-93.676893, 41.584558)
"212",8107,TRUE,"Middle",c(-93.676893, 41.584558)
"213",127,TRUE,"High",c(-90.591047, 41.558427)
"214",601,TRUE,"Elementary",c(-96.355638, 42.479247)
"215",8505,TRUE,"Elementary",c(-93.679431, 41.580857)
"216",8505,TRUE,"Middle",c(-93.679431, 41.580857)
"217",8114,TRUE,"Elementary",c(-90.51181, 41.528303)
"218",8114,TRUE,"Middle",c(-90.51181, 41.528303)
"219",589,TRUE,"Elementary",c(-93.603089, 41.558675)
"220",931,TRUE,"Elementary",c(-93.635387, 41.539471)
"221",432,TRUE,"Elementary",c(-93.755863, 41.66668)
"222",562,TRUE,"Elementary",c(-93.693743, 41.579616)
"223",441,TRUE,"Elementary",c(-93.730005, 41.632979)
"224",706,TRUE,"Elementary",c(-93.617346, 41.53371)
"225",269,TRUE,"Middle",c(-93.684738, 41.633099)
"226",8502,TRUE,"Elementary",c(-93.797413, 41.627208)
"227",8501,TRUE,"Elementary",c(-92.74589, 41.74618)
"228",8501,TRUE,"Middle",c(-92.74589, 41.74618)
"229",8100,TRUE,"Elementary",c(-95.852246, 41.218217)
"230",136,TRUE,"High",c(-96.393005, 42.543388)
"231",542,TRUE,"Elementary",c(-96.425472, 42.507794)
"232",220,TRUE,"Middle",c(-96.383553, 42.541073)
"233",913,TRUE,"Elementary",c(-93.699455, 41.600415)
"234",935,TRUE,"Elementary",c(-93.641783, 41.584446)
"235",572,TRUE,"Elementary",c(-96.36034, 42.463514)
"236",8306,TRUE,"Elementary",c(-96.146129, 43.189373)
"237",8306,TRUE,"Middle",c(-96.146129, 43.189373)
"238",988,TRUE,"High",c(-93.654457, 41.590289)
"239",988,TRUE,"Middle",c(-93.654457, 41.590289)
"240",760,TRUE,"Elementary",c(-93.625657, 41.556246)
"241",266,TRUE,"Middle",c(-93.61778, 41.51203)
"242",8105,TRUE,"Elementary",c(-91.758049, 43.143339)
"243",8105,TRUE,"Middle",c(-91.758049, 43.143339)
"244",490,TRUE,"Elementary",c(-93.63777, 41.594379)
"245",850,TRUE,"Elementary",c(-93.656873, 41.591685)
"246",850,TRUE,"Middle",c(-93.656873, 41.591685)
"247",553,TRUE,"Elementary",c(-93.666601, 41.582379)
"248",212,TRUE,"Middle",c(-95.831134, 41.27219)
"249",8314,TRUE,"Elementary",c(-96.173981, 43.071907)
"250",8314,TRUE,"Middle",c(-96.173981, 43.071907)
"251",733,TRUE,"Elementary",c(-93.628156, 41.60707)
"252",456,TRUE,"Elementary",c(-93.600105, 41.990178)
"253",245,TRUE,"Middle",c(-95.874858, 41.268525)
"254",580,TRUE,"Elementary",c(-96.475135, 42.517538)
"255",405,TRUE,"Elementary",c(-93.589648, 41.729636)
"256",697,TRUE,"Elementary",c(-93.605265, 41.573197)
"257",8212,TRUE,"Elementary",c(-90.589906, 41.545508)
"258",8212,TRUE,"Middle",c(-90.589906, 41.545508)
"259",573,TRUE,"Elementary",c(-90.610118, 41.577734)
"260",819,TRUE,"Elementary",c(-93.671658, 41.640016)
"261",8305,TRUE,"Elementary",c(-96.129572, 43.19273)
"262",8305,TRUE,"Middle",c(-96.129572, 43.19273)
"263",481,TRUE,"Elementary",c(-95.836264, 41.272733)
"264",476,TRUE,"Elementary",c(-93.781023, 41.573572)
"265",223,TRUE,"Middle",c(-90.766618, 41.587435)
"266",618,TRUE,"Elementary",c(-93.63901, 41.611593)
"267",499,TRUE,"Elementary",c(-95.859016, 41.242114)
"268",782,TRUE,"Elementary",c(-93.520093, 41.587511)
"269",508,TRUE,"Elementary",c(-90.573321, 41.538259)
"270",422,TRUE,"Elementary",c(-95.916467, 41.290322)
"271",984,TRUE,"Elementary",c(-93.628735, 41.585043)
"272",438,TRUE,"Middle",c(-93.443525, 41.600392)
"273",414,TRUE,"Elementary",c(-90.629505, 41.566275)
"274",8110,TRUE,"Elementary",c(-90.506308, 41.530363)
"275",8110,TRUE,"High",c(-90.506308, 41.530363)
"276",8110,TRUE,"Middle",c(-90.506308, 41.530363)
"277",904,TRUE,"Elementary",c(-93.559165, 41.591468)
"278",281,TRUE,"Middle",c(-93.600456, 41.555332)
"279",863,TRUE,"Elementary",c(-93.613388, 41.511948)
"280",620,TRUE,"Elementary",c(-93.641424, 41.604079)
"281",407,TRUE,"Elementary",c(-90.477744, 41.58261)
"282",962,TRUE,"Elementary",c(-90.622255, 41.512529)
"283",116,TRUE,"High",c(-90.580203, 41.574527)
"284",8221,TRUE,"Elementary",c(-93.695852, 41.61126)
"285",8221,TRUE,"Middle",c(-93.695852, 41.61126)
"286",539,TRUE,"Elementary",c(-96.367678, 42.537806)
"287",571,TRUE,"Elementary",c(-93.694322, 41.615861)
"288",218,TRUE,"Middle",c(-90.554328, 41.538331)
"289",8119,TRUE,"Elementary",c(-93.673964, 41.622248)
"290",8119,TRUE,"Middle",c(-93.673964, 41.622248)
"291",205,TRUE,"Middle",c(-90.600303, 41.579214)
"292",8503,TRUE,"High",c(-93.623057, 41.731844)
"293",8503,TRUE,"Middle",c(-93.623057, 41.731844)
"294",8319,TRUE,"Elementary",c(-96.288239, 43.196)
"295",8319,TRUE,"High",c(-96.288239, 43.196)
"296",8319,TRUE,"Middle",c(-96.288239, 43.196)
"297",8309,TRUE,"High",c(-96.133871, 43.192707)
"298",528,TRUE,"Elementary",c(-96.394951, 42.498449)
"299",977,TRUE,"Elementary",c(-93.625747, 41.535433)
"300",977,TRUE,"High",c(-93.625747, 41.535433)
"301",977,TRUE,"Middle",c(-93.625747, 41.535433)
"302",8004,TRUE,"Elementary",c(-95.821227, 41.260942)
"303",8004,TRUE,"High",c(-95.821227, 41.260942)
"304",8004,TRUE,"Middle",c(-95.821227, 41.260942)
